
=== gpu_va=0x18000  A=bo_sigusr1_h0_va18000_cpu104ca0000_sz8000.hex  B=bo_sigusr1_h0_va18000_cpu10484c000_sz8000.hex ===
  +0x00a4: 0x00000000 -> 0x02000048   (A 0  B 33554504)
  +0x00a8: 0x00000000 -> 0x00000200   (A 0  B 512)
  +0x00ac: 0x00000000 -> 0x07e00000   (A 0  B 132120576)
  +0x00b0: 0x00000000 -> 0x07e00000   (A 0  B 132120576)
  +0x00b4: 0x00000000 -> 0x0001ffff   (A 0  B 131071)
  +0x00b8: 0x00000000 -> 0x00410000   (A 0  B 4259840)
  +0x00c0: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x00c4: 0x00000000 -> 0x00200000   (A 0  B 2097152)
  +0x00c8: 0x00000000 -> 0x00000480   (A 0  B 1152)

=== gpu_va=0x10000018600  A=bo_sigusr1_h0_va10000018600_cpu10490c600_sz20000.hex  B=bo_sigusr1_h0_va10000018600_cpu104768600_sz20000.hex ===
  +0x0200: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0204: 0xdeadbeef -> 0x00000000   (A 3735928559  B 0)

=== gpu_va=0x10000018700  A=bo_sigusr1_h0_va10000018700_cpu10490c700_sz20000.hex  B=bo_sigusr1_h0_va10000018700_cpu104768700_sz20000.hex ===
  +0x0100: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0104: 0xdeadbeef -> 0x00000000   (A 3735928559  B 0)

=== gpu_va=0x10000018800  A=bo_sigusr1_h0_va10000018800_cpu10490c800_sz20000.hex  B=bo_sigusr1_h0_va10000018800_cpu104768800_sz20000.hex ===
  +0x0000: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0004: 0xdeadbeef -> 0x00000000   (A 3735928559  B 0)

=== gpu_va=0x10000100000  A=bo_sigusr1_h0_va10000100000_cpu109868000_sz8000.hex  B=bo_sigusr1_h0_va10000100000_cpu104864000_sz8000.hex ===
  +0x0000: 0x00000000 -> 0x00018800   (A 0  B 100352)
  +0x0004: 0x0000006f -> 0x00000100   (A 111  B 256)
  +0x0008: 0x00058000 -> 0x00000000   (A 360448  B 0)
  +0x000c: 0x00058000 -> 0x0000006f   (A 360448  B 111)
  +0x0010: 0x60000000 -> 0x00058000   (A 1610612736  B 360448)
  +0x0014: 0x00000000 -> 0x00058000   (A 0  B 360448)
  +0x0018: 0x00058000 -> 0x60000000   (A 360448  B 1610612736)
  +0x0020: 0x00000000 -> 0x00058000   (A 0  B 360448)
