
=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu104fb0000_sz10000.hex  B=map_seq000056_conn0_type00005e15_at1030fc000_sz4000.hex ===
  [size differs: A read 0x10000  B read 0x4000]
  +0x0884: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0888: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x088c: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0890: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0894: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0898: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x089c: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x08a0: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x08a4: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x08a8: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x08ac: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x08b0: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x08b4: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x08b8: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x08bc: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x08c0: 0x0610dd2c -> 0x0000000e   (A 101768492  B 14)
  +0x08c4: 0x0000001b -> 0x00060006   (A 27  B 393222)
  +0x08c8: 0x0054119f -> 0x00060006   (A 5509535  B 393222)
  +0x08cc: 0x88100202 -> 0x00060006   (A 2282750466  B 393222)
  +0x08d0: 0x00e70411 -> 0x00060006   (A 15139857  B 393222)
  +0x08d4: 0x02000254 -> 0x00060006   (A 33555028  B 393222)
  +0x08d8: 0x02110021 -> 0x00060006   (A 34668577  B 393222)
  +0x08dc: 0x00119000 -> 0x00060006   (A 1150976  B 393222)
  +0x08e0: 0x025400e7 -> 0x00060006   (A 39059687  B 393222)
  +0x08e4: 0x00210000 -> 0x00060006   (A 2162688  B 393222)
  +0x08e8: 0x90000211 -> 0x00060006   (A 2415919633  B 393222)
  +0x08ec: 0x000e0011 -> 0x00060006   (A 917521  B 393222)
  +0x08f0: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x08f4: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x08f8: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x08fc: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0900: 0x00000840 -> 0x06118404   (A 2112  B 101811204)
  +0x0904: 0x00000000 -> 0x00000001   (A 0  B 1)
  +0x0908: 0x00000000 -> 0x0054119f   (A 0  B 5509535)
  +0x090c: 0x00000000 -> 0x00001e03   (A 0  B 7683)
  +0x0910: 0x00000000 -> 0x000b0414   (A 0  B 721940)
  +0x0914: 0x00000000 -> 0x02870429   (A 0  B 42402857)
  +0x0918: 0x00000000 -> 0x00030154   (A 0  B 196948)
  +0x091c: 0x00000000 -> 0x00541457   (A 0  B 5510231)
  +0x0920: 0x00000000 -> 0x02070100   (A 0  B 34013440)
  +0x0924: 0x00000000 -> 0x00030154   (A 0  B 196948)
  +0x0928: 0x00000000 -> 0x0000000e   (A 0  B 14)
  +0x0940: 0x00070003 -> 0x000000c0   (A 458755  B 192)
  +0x0944: 0x00000002 -> 0x00000000   (A 2  B 0)
  +0x0948: 0x000e0060 -> 0x00000000   (A 917600  B 0)
  +0x094c: 0x00060000 -> 0x00000000   (A 393216  B 0)
  +0x0950: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0954: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0958: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x095c: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0960: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0964: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0968: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x096c: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0970: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0974: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0978: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x097c: 0x00060006 -> 0x00000000   (A 393222  B 0)
  +0x0980: 0x0610a00c -> 0x0000000e   (A 101752844  B 14)
  +0x0984: 0x00320c0a -> 0x00060006   (A 3279882  B 393222)
  +0x0988: 0x050f2084 -> 0x00060006   (A 84877444  B 393222)
  +0x098c: 0x010f0154 -> 0x00060006   (A 17760596  B 393222)
  +0x0990: 0x00077454 -> 0x00060006   (A 488532  B 393222)
  +0x0994: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0998: 0x0610a05c -> 0x00060006   (A 101752924  B 393222)
  +0x099c: 0x21200053 -> 0x00060006   (A 555745363  B 393222)
  +0x09a0: 0x0c54009f -> 0x00060006   (A 206831775  B 393222)
  +0x09a4: 0x00c01402 -> 0x00060006   (A 12588034  B 393222)
  +0x09a8: 0x00022060 -> 0x00060006   (A 139360  B 393222)
  +0x09ac: 0x08540067 -> 0x00060006   (A 139722855  B 393222)
  +0x09b0: 0x00200601 -> 0x00060006   (A 2098689  B 393222)
  +0x09b4: 0x40058161 -> 0x00060006   (A 1074102625  B 393222)
  +0x09b8: 0x00670042 -> 0x00060006   (A 6750274  B 393222)
  +0x09bc: 0x06010054 -> 0x00060006   (A 100728916  B 393222)
  +0x09c0: 0x00170020 -> 0x0610dd2c   (A 1507360  B 101768492)
  +0x09c4: 0x00424000 -> 0x0000001b   (A 4341760  B 27)
  +0x09c8: 0x14540067 -> 0x0054119f   (A 341049447  B 5509535)
  +0x09cc: 0x00208601 -> 0x88100202   (A 2131457  B 2282750466)
  +0x09d0: 0x4004404d -> 0x00e70411   (A 1074020429  B 15139857)
  +0x09d4: 0x080a0042 -> 0x02000254   (A 134873154  B 33555028)
  +0x09d8: 0x0006802b -> 0x02110021   (A 426027  B 34668577)
  +0x09dc: 0x0002c207 -> 0x00119000   (A 180743  B 1150976)
  +0x09e0: 0x0154050f -> 0x025400e7   (A 22283535  B 39059687)
  +0x09e4: 0x6e54010f -> 0x00210000   (A 1850999055  B 2162688)
  +0x09e8: 0x00000000 -> 0x90000211   (A 0  B 2415919633)
  +0x09ec: 0xa06c0000 -> 0x000e0011   (A 2691432448  B 917521)
  +0x09f0: 0x00634610 -> 0x00000000   (A 6506000  B 0)
  +0x09f4: 0x019f6120 -> 0x00000000   (A 27222304  B 0)
  +0x09f8: 0x18030a54 -> 0x00000000   (A 402852436  B 0)
  +0x09fc: 0x0516e830 -> 0x00000000   (A 85387312  B 0)
  +0x0a00: 0x0a54019f -> 0x00000840   (A 173277599  B 2112)
  +0x0a04: 0x88280002 -> 0x00000000   (A 2284322818  B 0)
  +0x0a08: 0x00670414 -> 0x00000000   (A 6751252  B 0)
  +0x0a0c: 0x85011054 -> 0x00000000   (A 2231439444  B 0)
  +0x0a10: 0x814d0020 -> 0x00000000   (A 2169307168  B 0)
  +0x0a14: 0x00424003 -> 0x00000000   (A 4341763  B 0)
  +0x0a18: 0x18541067 -> 0x00000000   (A 408162407  B 0)
  +0x0a20: 0x4000055d -> 0x00000000   (A 1073743197  B 0)
  +0x0a24: 0x009f0022 -> 0x00000000   (A 10420258  B 0)
  +0x0a28: 0x30020a56 -> 0x00000000   (A 805440086  B 0)
  +0x0a2c: 0x22500040 -> 0x00000000   (A 575668288  B 0)
  +0x0a30: 0x009f000a -> 0x00000000   (A 10420234  B 0)
  +0x0a34: 0x34020c54 -> 0x00000000   (A 872549460  B 0)
  +0x0a38: 0x22500444 -> 0x00000000   (A 575669316  B 0)
  +0x0a3c: 0x009f000a -> 0x00000000   (A 10420234  B 0)
  +0x0a40: 0x38020e54 -> 0x00070003   (A 939658836  B 458755)
  +0x0a44: 0x22500448 -> 0x00000002   (A 575669320  B 2)
  +0x0a48: 0x1103000a -> 0x000e0060   (A 285409290  B 917600)
  +0x0a4c: 0x12130009 -> 0x00060000   (A 303235081  B 393216)
  +0x0a50: 0x040f0009 -> 0x00060006   (A 68091913  B 393222)
  +0x0a54: 0x10671924 -> 0x00060006   (A 275192100  B 393222)
  +0x0a58: 0x00000a54 -> 0x00060006   (A 2644  B 393222)
  +0x0a5c: 0x01570000 -> 0x00060006   (A 22478848  B 393222)
  +0x0a60: 0x00224000 -> 0x00060006   (A 2244608  B 393222)
  +0x0a64: 0x00540067 -> 0x00060006   (A 5505127  B 393222)
  +0x0a68: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x0a6c: 0x40020559 -> 0x00060006   (A 1073874265  B 393222)
  +0x0a70: 0x060f0022 -> 0x00060006   (A 101646370  B 393222)
  +0x0a74: 0x00000124 -> 0x00060006   (A 292  B 393222)
  +0x0a78: 0x0156009f -> 0x00060006   (A 22413471  B 393222)
  +0x0a7c: 0x00400003 -> 0x00060006   (A 4194307  B 393222)
  +0x0a80: 0x000a2000 -> 0x0610a00c   (A 663552  B 101752844)
  +0x0a84: 0x010000b3 -> 0x00320c0a   (A 16777395  B 3279882)
  +0x0a88: 0x1254009f -> 0x050f2084   (A 307495071  B 84877444)
  +0x0a8c: 0x00080202 -> 0x010f0154   (A 524802  B 17760596)
  +0x0a90: 0x000a2200 -> 0x00077454   (A 664064  B 488532)
  +0x0a94: 0x01000093 -> 0x00000000   (A 16777363  B 0)
  +0x0a98: 0x18542067 -> 0x0610a05c   (A 408166503  B 101752924)
  +0x0a9c: 0x00200b00 -> 0x21200053   (A 2099968  B 555745363)
  +0x0aa0: 0x5fff0959 -> 0x0c54009f   (A 1610549593  B 206831775)
  +0x0aa4: 0x00670048 -> 0x00c01402   (A 6750280  B 12588034)
  +0x0aa8: 0x09002244 -> 0x00022060   (A 151003716  B 139360)
  +0x0aac: 0x08190020 -> 0x08540067   (A 135856160  B 139722855)
  +0x0ab0: 0x00485fff -> 0x00200601   (A 4743167  B 2098689)
  +0x0ab4: 0x1c54011f -> 0x40058161   (A 475267359  B 1074102625)
  +0x0ab8: 0x08042c03 -> 0x00670042   (A 134491139  B 6750274)
  +0x0abc: 0x019f0111 -> 0x06010054   (A 27197713  B 100728916)
  +0x0ac0: 0x38021c54 -> 0x00170020   (A 939662420  B 1507360)
  +0x0ac4: 0x05132854 -> 0x00424000   (A 85141588  B 4341760)
  +0x0ac8: 0x1c56009f -> 0x14540067   (A 475398303  B 341049447)
  +0x0acc: 0xe0703003 -> 0x00208601   (A 3765448707  B 2131457)
  +0x0ad0: 0x002a2fe0 -> 0x4004404d   (A 2764768  B 1074020429)
  +0x0ad4: 0x2054109f -> 0x080a0042   (A 542380191  B 134873154)
  +0x0ad8: 0xac544402 -> 0x0006802b   (A 2891203586  B 426027)
  +0x0adc: 0x002a2268 -> 0x0002c207   (A 2761320  B 180743)
  +0x0ae0: 0x8025820a -> 0x0154050f   (A 2149941770  B 22283535)
  +0x0ae4: 0x00058022 -> 0x6e54010f   (A 360482  B 1850999055)
  +0x0ae8: 0x8f9a8220 -> 0x00000000   (A 2409267744  B 0)
  +0x0aec: 0x80228d25 -> 0xa06c0000   (A 2149748005  B 2691432448)
  +0x0af0: 0x82200005 -> 0x00634610   (A 2183135237  B 6506000)
  +0x0af4: 0x9025821a -> 0x019f6120   (A 2418377242  B 27222304)
  +0x0af8: 0x00058022 -> 0x18030a54   (A 360482  B 402852436)
  +0x0afc: 0x00a70180 -> 0x0516e830   (A 10944896  B 85387312)
  +0x0b00: 0x44031854 -> 0x0a54019f   (A 1141053524  B 173277599)
  +0x0b04: 0x13f00090 -> 0x88280002   (A 334495888  B 2284322818)
  +0x0b08: 0x800a0005 -> 0x00670414   (A 2148139013  B 6751252)
  +0x0b0c: 0x83028225 -> 0x85011054   (A 2197979685  B 2231439444)
  +0x0b10: 0x81200005 -> 0x814d0020   (A 2166358021  B 2169307168)
  +0x0b14: 0x8b258f42 -> 0x00424003   (A 2334494530  B 4341763)
  +0x0b18: 0x00058022 -> 0x18541067   (A 360482  B 408162407)
  +0x0b1c: 0x808a1380 -> 0x00000000   (A 2156532608  B 0)
  +0x0b20: 0x03829025 -> 0x4000055d   (A 58888229  B 1073743197)
  +0x0b24: 0x01800005 -> 0x009f0022   (A 25165829  B 10420258)
  +0x0b28: 0x8f258d1a -> 0x30020a56   (A 2401602842  B 805440086)
  +0x0b2c: 0x00058802 -> 0x22500040   (A 362498  B 575668288)
  +0x0b30: 0x19e28120 -> 0x009f000a   (A 434274592  B 10420234)
  +0x0b34: 0x0005172e -> 0x34020c54   (A 333614  B 872549460)
  +0x0b38: 0x8b258d0a -> 0x22500444   (A 2334493962  B 575669316)
  +0x0b3c: 0x00050882 -> 0x009f000a   (A 329858  B 10420234)
  +0x0b40: 0x009f0380 -> 0x38020e54   (A 10421120  B 939658836)
  +0x0b44: 0x38031c54 -> 0x22500448   (A 939727956  B 575669320)
  +0x0b48: 0x22500448 -> 0x1103000a   (A 575669320  B 285409290)
  +0x0b4c: 0x8b1a000a -> 0x12130009   (A 2333736970  B 303235081)
  +0x0b50: 0x81020f25 -> 0x040f0009   (A 2164395813  B 68091913)
  +0x0b54: 0x80200005 -> 0x10671924   (A 2149580805  B 275192100)
  +0x0b58: 0x185407a7 -> 0x00000a54   (A 408160167  B 2644)
  +0x0b5c: 0x20842a03 -> 0x01570000   (A 545532419  B 22478848)
  +0x0b60: 0x0d250b0a -> 0x00224000   (A 220531466  B 2244608)
  +0x0b64: 0x00050380 -> 0x00540067   (A 328576  B 5505127)
  +0x0b68: 0x8225901a -> 0x00000000   (A 2183499802  B 0)
  +0x0b6c: 0x00059102 -> 0x40020559   (A 364802  B 1073874265)
  +0x0b70: 0x07a78020 -> 0x060f0022   (A 128417824  B 101646370)
  +0x0b74: 0x38031c54 -> 0x00000124   (A 939727956  B 292)
  +0x0b78: 0x908a20ac -> 0x0156009f   (A 2424971436  B 22413471)
  +0x0b7c: 0x03808025 -> 0x00400003   (A 58753061  B 4194307)
  +0x0b80: 0x00af0005 -> 0x000a2000   (A 11468805  B 663552)
