  +0x02c4: 0x00000000 -> 0x001a4c54   (A 0  B 1723476)
  +0x02c8: 0x00000000 -> 0x00570000   (A 0  B 5701632)
  +0x02cc: 0x00000000 -> 0x00264006   (A 0  B 2506758)
  +0x02d0: 0x00100083 -> 0x44540067   (A 1048707  B 1146355815)
  +0x02d4: 0x00000000 -> 0x0000001a   (A 0  B 26)
  +0x02d8: 0x00000000 -> 0x40040057   (A 0  B 1074004055)
  +0x02dc: 0x00000000 -> 0x00670026   (A 0  B 6750246)
  +0x02e0: 0x00000000 -> 0x001a3c54   (A 0  B 1719380)
  +0x02e4: 0x00000000 -> 0x00570000   (A 0  B 5701632)
  +0x02e8: 0x00000000 -> 0x00264002   (A 0  B 2506754)
  +0x02ec: 0x00000000 -> 0x34540067   (A 0  B 877920359)
  +0x02f0: 0x00408001 -> 0x0000001a   (A 4227073  B 26)
  +0x02f4: 0x00000000 -> 0x40000457   (A 0  B 1073742935)
  +0x02f8: 0x00000000 -> 0x00770026   (A 0  B 7798822)
  +0x02fc: 0x00000000 -> 0x004b422a   (A 0  B 4932138)
  +0x0300: 0x00110320 -> 0x01770000   (A 1114912  B 24576000)
  +0x0304: 0x00000100 -> 0x001302aa   (A 256  B 1245866)
  +0x0308: 0x00110420 -> 0x00060200   (A 1115168  B 393728)
  +0x030c: 0x00000100 -> 0x002a00f7   (A 256  B 2752759)
  +0x0310: 0x00000000 -> 0x00000005   (A 0  B 5)
  +0x0314: 0x00000000 -> 0x801c0000   (A 0  B 2149318656)
  +0x0318: 0x00000000 -> 0x00000002   (A 0  B 2)
  +0x031c: 0x00000000 -> 0x81140000   (A 0  B 2165571584)
  +0x0320: 0xf60a0a02 -> 0x00000611   (A 4127853058  B 1553)

... [truncated 355 lines of allocation-shift noise; clean per-field diffs are in hex/KEY_DIFFS.txt and the focus_*.txt files] ...
