BOs only in A: 0x10000060000 0x10000088000 0x10000100000 0x10000110000 0x10000248000 0x10000258000
BOs only in B: 0x10000080000 0x100000a8000 0x10000150000 0x10000160000 0x100002a8000 0x100002b8000

  +0x0b84: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0b88: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0b8c: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0b90: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0b94: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0b98: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0b9c: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ba0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ba4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ba8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bac: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bb0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bb4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bb8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bbc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bc0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bc4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bc8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bcc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bd0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bd4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bd8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bdc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0be0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0be4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0be8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bec: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bf0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bf4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bf8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0bfc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0e80: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0e84: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0e88: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0e8c: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0e90: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0e94: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0e98: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0e9c: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ea0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ea4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ea8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0eac: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0eb0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0eb4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0eb8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ebc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ec0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ec4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ec8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ecc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ed0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ed4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ed8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0edc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ee0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ee4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ee8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0eec: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ef0: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ef4: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0ef8: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)
  +0x0efc: 0xff4080bf -> 0x00000000   (A 4282417343  B 0)

... [truncated 507 lines of allocation-shift noise; clean per-field diffs are in hex/KEY_DIFFS.txt and the focus_*.txt files] ...
