key	grade	label	bucket	checks
ilogic.lut_a_sel	OTHER	untested	SUPPORTED	check_e0189_nonzero
imad.b9	EMIT	isolated-byte-diff	SUPPORTED	check_0139
imad.opmode	EMIT	hardware-run	SUPPORTED	check_0139
imageblock_store.src	OTHER	untested	SUPPORTED	check_e0189_nonzero
iminmax.fmt	EMIT	isolated-byte-diff	SUPPORTED	check_0139
iminmax.selhi	EMIT	isolated-byte-diff	SUPPORTED	check_0139
irotate._instruction	EMIT_INSTR	hardware-run	SUPPORTED	check_misc
irotate.operands	OTHER	untested	SUPPORTED	check_e0189_nonzero
isel10.opsel	EMIT	isolated-byte-diff	SUPPORTED	check_0139
isel10.selFalse_file	EMIT	isolated-byte-diff	SUPPORTED	check_0139
isel10_c.cmpA	OTHER	untested	SUPPORTED	check_0139
isel10_c.cmpB	OTHER	untested	SUPPORTED	check_0139
isel10_c.cmp_mode	OTHER	untested	SUPPORTED	check_0139
isel10_c.selTrue	OTHER	untested	SUPPORTED	check_0139
isel8.opsel	EMIT	isolated-byte-diff	SUPPORTED	check_0139
isel_reg.selFalse_file	EMIT	isolated-byte-diff	SUPPORTED	check_0139
isel_reg8.cmpA	OTHER	untested	SUPPORTED	check_0139
isel_reg8.cmpB	OTHER	untested	SUPPORTED	check_0139
isel_reg8.cmp_mode	OTHER	untested	SUPPORTED	check_0139
isel_reg8.flags	OTHER	untested	SUPPORTED	check_0139
isel_reg8.selTrue	OTHER	untested	SUPPORTED	check_0139
ishift.form	EMIT	isolated-byte-diff	SUPPORTED	check_0139
ishift.op8	EMIT	isolated-byte-diff	SUPPORTED	check_0139
ishift.shamt	EMIT	hardware-run	SUPPORTED	check_0139
ishift.src_class	EMIT	hardware-run	SUPPORTED	check_0139
iter.dst	EMIT	isolated-byte-diff	SUPPORTED	check_0155
iter.grp	EMIT	hardware-run	OVERSTATED	check_0155
iter_at._instruction	EMIT_INSTR	isolated-byte-diff	SUPPORTED	check_misc
iter_at.dst	EMIT	isolated-byte-diff	SUPPORTED	check_0155
iter_flat._instruction	EMIT_INSTR	isolated-byte-diff	SUPPORTED	check_misc
iter_flat.b4	EMIT	hardware-run	OVERSTATED	check_0155
iter_flat.b5	EMIT	isolated-byte-diff	OVERSTATED	check_0155
iter_flat.sel	EMIT	isolated-byte-diff	OVERSTATED	check_0155
iunary.dst	EMIT	hardware-run	SUPPORTED	check_0139
iunary.src	EMIT	hardware-run	SUPPORTED	check_0139
iunary.srcdesc	EMIT	isolated-byte-diff	SUPPORTED	check_0139
mov_imm._instruction	EMIT_INSTR	hardware-run	INSTRUMENT-LIMITED	check_misc
mov_imm.dst	EMIT	hardware-run	SUPPORTED	check_0140
n2_op6._instruction	OTHER	corpus-correlation	SUPPORTED	check_misc
n2_op6.dst	EMIT	hardware-run	SUPPORTED	check_0157
n2_op6.imm_sel	EMIT	hardware-run	SUPPORTED	check_0157
n2_op6.opA	EMIT	hardware-run	SUPPORTED	check_0157
n2_op6.opB	EMIT	hardware-run	SUPPORTED	check_0157
n2_op6.opsel	EMIT	hardware-run	SUPPORTED	check_0157
n2_op6.src_desc	EMIT	hardware-run	SUPPORTED	check_0157
n3_sample_read.tail	OTHER	untested	SUPPORTED	check_0147;check_withheld
packed_half2_hi.dst	EMIT	hardware-run	SUPPORTED	check_0162
packed_half2_hi.mods	OTHER	untested	SUPPORTED	check_misc
pixel_order.flags	EMIT	hardware-run	SUPPORTED	check_0147
pixel_order.scope	EMIT	hardware-run	SUPPORTED	check_0147
pop_reconverge.scope	OTHER	untested	SUPPORTED	check_0140;check_withheld
pop_reconverge.scope_kind	EMIT	hardware-run	SUPPORTED	check_0140
psel._instruction	EMIT_INSTR	hardware-run	SUPPORTED	check_misc
psel.flag	EMIT	hardware-run	SUPPORTED	check_0140
psel.mode	EMIT	hardware-run	SUPPORTED	check_0140
psel.sel	EMIT	hardware-run	SUPPORTED	check_0140
ray_move.b3	OTHER	untested	SUPPORTED	check_e0189_nonzero
ray_move_copy6.optype	OTHER	untested	SUPPORTED	check_0157;check_withheld
rt_query_traverse.dst	OTHER	untested	SUPPORTED	check_e0189_nonzero
rt_query_traverse.opB	OTHER	untested	SUPPORTED	check_e0189_nonzero
rtq_state_move.dst	EMIT	hardware-run	SUPPORTED	check_0157
rtq_state_move.src	EMIT	hardware-run	SUPPORTED	check_0157
shift_amt_move.src_flag	OTHER	untested	SUPPORTED	check_e0189_nonzero
simd_ballot.dst	EMIT	isolated-byte-diff	SUPPORTED	check_0155
simd_ballot.form_sig	EMIT	isolated-byte-diff	SUPPORTED	check_0155
simd_reduce.dst	EMIT	isolated-byte-diff	SUPPORTED	check_0155
simd_shuffle.dst	EMIT	isolated-byte-diff	SUPPORTED	check_0155
sr_read_wide.dst	EMIT	hardware-run	SUPPORTED	check_0157
sr_read_wide.marshal	EMIT	hardware-run	SUPPORTED	check_0157
sr_read_wide.operand	EMIT	hardware-run	SUPPORTED	check_0157
sr_read_wide.phase	EMIT	hardware-run	SUPPORTED	check_0157
sr_read_wide.sel	EMIT	hardware-run	SUPPORTED	check_0157
sr_read_wide.width	EMIT	hardware-run	SUPPORTED	check_0157
tex_deriv.dstsrc	OTHER	untested	SUPPORTED	check_e0189_nonzero
tex_sample.chain	EMIT	hardware-run	OVERSTATED	check_0155
tex_sample.comp_flags	EMIT	hardware-run	OVERSTATED	check_0155
tex_sample.kind	EMIT	hardware-run	OVERSTATED	check_0155
tex_sample.lod_present	EMIT	hardware-run	OVERSTATED	check_0155
tex_sample.mode	OTHER	untested	SUPPORTED	check_e0189_nonzero
tex_sample.result_sel	EMIT	hardware-run	OVERSTATED	check_0155
tex_sample.samp_extra	EMIT	hardware-run	SUPPORTED	check_0155
tex_sample.tex_type	EMIT	hardware-run	OVERSTATED	check_0155
tex_write.coord_pack	EMIT	isolated-byte-diff	SUPPORTED	check_0155
uniform_mov._instruction	EMIT_INSTR	hardware-run	SUPPORTED	check_misc
uniform_mov.usrc	EMIT	hardware-run	SUPPORTED	check_0140
vtx_coord_xform.mode	EMIT	hardware-run	SUPPORTED	check_0147
vtx_coord_xform.operand	OTHER	untested	SUPPORTED	check_0147;check_withheld
vtx_coord_xform.sel	EMIT	isolated-byte-diff	SUPPORTED	check_0147
vtx_out_pos.dst	OTHER	untested	SUPPORTED	check_e0189_nonzero
