############ SAMPLE POSITIONS: msaa4b vs msaa4sp (all BOs, wide) ############
   +0x0820: 00000000 -> 0100ffff
   +0x0824: 00000000 -> ffff507b
   ...(163 more)
va 100000a0000: 36 diffs
   +0x0010: 0ca04200 -> eca00200
   +0x0018: 1c804200 -> fc800200
   +0x0020: ef040300 -> af040300
   +0x0024: a80c0042 -> e80c0040
   +0x0028: af040300 -> ef1c0300
   +0x0030: 0f204300 -> 0700000c
   +0x0034: a80c0040 -> 00000000
   +0x0038: 0700000c -> c703480e
   +0x0040: c703400e -> 00010701
   +0x0044: 00000000 -> 000d0000
   +0x0048: 00014700 -> 00000000
   +0x004c: 000d0000 -> 1c800200
   +0x0054: 1c800200 -> 34810100
   +0x0058: 00000000 -> 2000a002
   +0x005c: 34810100 -> 0c800200
   +0x0060: 2000a002 -> 04000000
   +0x0064: 0c800200 -> 2704041a
   +0x0068: 04000000 -> 2100a302
   +0x006c: 2704041a -> 88800000
   +0x0070: 2100a302 -> 1c800200
   +0x0074: 88800000 -> 04000000
   +0x0078: 1c800200 -> 27040400
   +0x007c: 04000000 -> 3000a412
   +0x0080: 27040400 -> 0b140944
   +0x0084: 3000a412 -> 1b160904
   +0x0088: 4b1c0944 -> 2b180904
   +0x008c: 5b1e0904 -> 3b1a0904
   +0x0090: 0b140904 -> 4b1c0904
   +0x0094: 1b160904 -> 5b1e0904
   +0x0098: 2b180904 -> 6b200904
   +0x009c: 3b1a0904 -> 7b220904
   +0x00a0: 6b200904 -> 0e000000
   +0x00a4: 7b220904 -> 00000000
   +0x00a8: 43000702 -> 00000000
   +0x00ac: 2220a002 -> 00000000
   +0x00b0: 0e000000 -> 00000000
va 100000c0000: 1 diffs
   +0x0028: 60010060 -> 60110060
va 100000f0000: 6 diffs
   +0x14b0: 00cd0100 -> 00000000
   +0x14b4: 00010000 -> 00000000
   +0x14c0: 220a88f6 -> 220ae43f
   +0x14c4: 03f80120 -> 801f0020
   +0x14e0: 00000f68 -> 00000f08
   +0x14e4: 1b070000 -> 00070000

############ PBE: iw_w(write) vs iw_rw(read_write, TWO descriptors) ############
va 10000000000: 25 diffs
   +0x0380: 0e000000 -> 43000702
   +0x0384: 06000600 -> 2220a002
   +0x0388: 06000600 -> 0e000000
   +0x03c0: 1ca01006 -> 4ca01006
   +0x03c4: 0ca11026 -> 5ca11026
   +0x03c8: 2786000a -> 8b082124
   +0x03cc: 2200af0a -> 9b0a2144
   +0x03d0: 08003788 -> 0f0a1a10
   +0x03d4: 000a2200 -> 40806029
   +0x03d8: af0a0800 -> 29b12401
   +0x03dc: 02032e09 -> c02039b1
   +0x03e0: 45021201 -> 3403c000
   +0x03e4: 2e094502 -> 69b13405
   +0x03e8: 2480030a -> c00079b1
   +0x03ec: 2708ae1a -> 3407c000
   +0x03f0: 00003504 -> 02092611
   +0x03f4: 11042420 -> 4502120b
   +0x03f8: a0020080 -> 2e114502
   +0x03fc: 008c0020 -> 3504110c
   +0x0400: 06000100 -> 2420a002
   +0x0404: 0e000000 -> 0080008c
   +0x0408: 00000000 -> 00200800
   +0x040c: 00000000 -> 01000f0c
   +0x0410: 00000000 -> 03080106
   +0x0414: 00000000 -> 10400e00
va 10000018000: 6 diffs
   +0x0020: 00000f08 -> 00000f68
   +0x0024: 00070000 -> 1b070000
   +0x0040: 00000060 -> 00000f08
   +0x0044: 5b070000 -> 00070000
   +0x0060: 00000000 -> 00000060
   +0x0064: 00000000 -> 5b070000
va 10000040000: 4 diffs
   +0x0040: 00000f08 -> 00000f68
   +0x0044: 00070000 -> 1b070000
   +0x0060: 00000000 -> 00000f08
   +0x0064: 00000000 -> 00070000
va 10000080000: 97 diffs
   +0x0000: ad8d0100 -> ffffffff
   +0x0008: 5044efb5 -> ffffffff
   +0x000c: fafe6d8c -> ffffffff
   +0x0010: 0100ffff -> ffffffff
   +0x0014: ffff507b -> ffffffff
   +0x0018: faa38d01 -> ffffffff
   +0x001c: 00ffffff -> ffffffff
   +0x0020: ff44cffe -> 00000000
   +0x0024: ffffffff -> 00000000
   +0x0028: 6d8c0100 -> 00000000
   +0x002c: ffffffff -> 00000000
   +0x0030: 507bfa6d -> 00000000
   +0x0034: 8c0100ff -> 00000000
   +0x0038: ffffff50 -> 00000000
   +0x003c: 7bfaffff -> 00000000
   +0x0040: ffffffff -> 00000000
   +0x0044: ffff0000 -> 00000000
   +0x0400: a38d0100 -> ffffffff
   +0x0408: 44cffeff -> ffffffff
   +0x040c: ffffffa3 -> ffffffff
   +0x0410: 8d0100ff -> ffffffff
   +0x0414: ffffff44 -> ffffffff
   +0x0418: cffeffff -> ffffffff
   +0x0420: ffffffff -> 00000000
   +0x0424: ffffffff -> 00000000
   +0x0428: ffffffff -> 00000000
   +0x042c: ffff0000 -> 00000000
   +0x0800: 6d8c0100 -> ffffffff
   +0x0808: 507bfa6d -> ffffffff
   +0x080c: 8c0100ff -> ffffffff
   +0x0810: ffffff50 -> ffffffff
   +0x0814: 7bfaffff -> ffffffff
   +0x081c: ffff6d8c -> ffffffff
   +0x0820: 0100ffff -> 00000000
   +0x0824: ffff507b -> 00000000
   +0x0828: fa6d8c01 -> 00000000
   +0x082c: 00ffffff -> 00000000
   +0x0830: ff507bfa -> 00000000
   +0x0834: ffffffff -> 00000000
   +0x0838: ffffffff -> 00000000
   ...(57 more)
va 100000a0000: 40 diffs
   +0x0010: eca00200 -> 2ca04200
   +0x0018: fc800200 -> 3c804200
   +0x0020: af040300 -> ef040300
   +0x0024: e80c0040 -> e80c0042
   +0x0028: ef1c0300 -> af040300
   +0x0030: 0700000c -> 2f244300
   +0x0034: 00000000 -> e80c0040
   +0x0038: c703480e -> 0700000c
   +0x0040: 00010701 -> c703480e
   +0x0044: 000d0000 -> 00000000
   +0x0048: 00000000 -> 00014701
   +0x004c: 1c800200 -> 000d0000
   +0x0054: 34810100 -> 1c800200
   +0x0058: 2000a002 -> 00000000
   +0x005c: 0c800200 -> 34810100
   +0x0060: 04000000 -> 2000a002
   +0x0064: 2704041a -> 0c800200
