DEVICE Apple M4
CONFIG mode=uniform order=0,1,2,3,4,5,6,7 count=650 watchdog_sec=10.0 pad_mb=0 extra_queues=0
RESULT i=150 name=vs_u0150 stage=draw status=completed final_status=4 error=""
DUMP i=150
RESULT i=151 name=vs_u0151 stage=draw status=completed final_status=4 error=""
RESULT i=152 name=vs_u0152 stage=draw status=completed final_status=4 error=""
RESULT i=153 name=vs_u0153 stage=draw status=completed final_status=4 error=""
RESULT i=154 name=vs_u0154 stage=draw status=completed final_status=4 error=""
RESULT i=155 name=vs_u0155 stage=draw status=completed final_status=4 error=""
RESULT i=156 name=vs_u0156 stage=draw status=completed final_status=4 error=""
RESULT i=157 name=vs_u0157 stage=draw status=completed final_status=4 error=""
RESULT i=158 name=vs_u0158 stage=draw status=completed final_status=4 error=""
RESULT i=159 name=vs_u0159 stage=draw status=completed final_status=4 error=""
RESULT i=160 name=vs_u0160 stage=draw status=completed final_status=4 error=""
RESULT i=161 name=vs_u0161 stage=draw status=completed final_status=4 error=""
RESULT i=162 name=vs_u0162 stage=draw status=completed final_status=4 error=""
RESULT i=163 name=vs_u0163 stage=draw status=completed final_status=4 error=""
RESULT i=164 name=vs_u0164 stage=draw status=completed final_status=4 error=""
RESULT i=165 name=vs_u0165 stage=draw status=completed final_status=4 error=""
RESULT i=166 name=vs_u0166 stage=draw status=completed final_status=4 error=""
RESULT i=167 name=vs_u0167 stage=draw status=completed final_status=4 error=""
RESULT i=168 name=vs_u0168 stage=draw status=completed final_status=4 error=""
RESULT i=169 name=vs_u0169 stage=draw status=completed final_status=4 error=""
RESULT i=170 name=vs_u0170 stage=draw status=completed final_status=4 error=""
RESULT i=171 name=vs_u0171 stage=draw status=completed final_status=4 error=""
RESULT i=172 name=vs_u0172 stage=draw status=completed final_status=4 error=""
RESULT i=173 name=vs_u0173 stage=draw status=completed final_status=4 error=""
RESULT i=174 name=vs_u0174 stage=draw status=completed final_status=4 error=""
RESULT i=175 name=vs_u0175 stage=draw status=completed final_status=4 error=""
RESULT i=176 name=vs_u0176 stage=draw status=completed final_status=4 error=""
RESULT i=177 name=vs_u0177 stage=draw status=completed final_status=4 error=""
RESULT i=178 name=vs_u0178 stage=draw status=completed final_status=4 error=""
RESULT i=179 name=vs_u0179 stage=draw status=completed final_status=4 error=""
RESULT i=180 name=vs_u0180 stage=draw status=completed final_status=4 error=""
RESULT i=181 name=vs_u0181 stage=draw status=completed final_status=4 error=""
RESULT i=182 name=vs_u0182 stage=draw status=completed final_status=4 error=""
RESULT i=183 name=vs_u0183 stage=draw status=completed final_status=4 error=""
RESULT i=184 name=vs_u0184 stage=draw status=completed final_status=4 error=""
RESULT i=185 name=vs_u0185 stage=draw status=completed final_status=4 error=""
RESULT i=186 name=vs_u0186 stage=draw status=completed final_status=4 error=""
RESULT i=187 name=vs_u0187 stage=draw status=completed final_status=4 error=""
RESULT i=188 name=vs_u0188 stage=draw status=completed final_status=4 error=""
RESULT i=189 name=vs_u0189 stage=draw status=completed final_status=4 error=""
RESULT i=190 name=vs_u0190 stage=draw status=completed final_status=4 error=""
RESULT i=191 name=vs_u0191 stage=draw status=completed final_status=4 error=""
RESULT i=192 name=vs_u0192 stage=draw status=completed final_status=4 error=""
RESULT i=193 name=vs_u0193 stage=draw status=completed final_status=4 error=""
RESULT i=194 name=vs_u0194 stage=draw status=completed final_status=4 error=""
RESULT i=195 name=vs_u0195 stage=draw status=completed final_status=4 error=""
RESULT i=196 name=vs_u0196 stage=draw status=completed final_status=4 error=""
RESULT i=197 name=vs_u0197 stage=draw status=completed final_status=4 error=""
RESULT i=198 name=vs_u0198 stage=draw status=completed final_status=4 error=""
RESULT i=199 name=vs_u0199 stage=draw status=completed final_status=4 error=""
RESULT i=200 name=vs_u0200 stage=draw status=completed final_status=4 error=""
DUMP i=200
RESULT i=201 name=vs_u0201 stage=draw status=completed final_status=4 error=""
RESULT i=202 name=vs_u0202 stage=draw status=completed final_status=4 error=""
RESULT i=203 name=vs_u0203 stage=draw status=completed final_status=4 error=""
RESULT i=204 name=vs_u0204 stage=draw status=completed final_status=4 error=""
RESULT i=205 name=vs_u0205 stage=draw status=completed final_status=4 error=""
RESULT i=206 name=vs_u0206 stage=draw status=completed final_status=4 error=""
RESULT i=207 name=vs_u0207 stage=draw status=completed final_status=4 error=""
RESULT i=208 name=vs_u0208 stage=draw status=completed final_status=4 error=""
RESULT i=209 name=vs_u0209 stage=draw status=completed final_status=4 error=""
RESULT i=210 name=vs_u0210 stage=draw status=completed final_status=4 error=""
RESULT i=211 name=vs_u0211 stage=draw status=completed final_status=4 error=""
RESULT i=212 name=vs_u0212 stage=draw status=completed final_status=4 error=""
RESULT i=213 name=vs_u0213 stage=draw status=completed final_status=4 error=""
RESULT i=214 name=vs_u0214 stage=draw status=completed final_status=4 error=""
RESULT i=215 name=vs_u0215 stage=draw status=completed final_status=4 error=""
RESULT i=216 name=vs_u0216 stage=draw status=completed final_status=4 error=""
RESULT i=217 name=vs_u0217 stage=draw status=completed final_status=4 error=""
RESULT i=218 name=vs_u0218 stage=draw status=completed final_status=4 error=""
RESULT i=219 name=vs_u0219 stage=draw status=completed final_status=4 error=""
RESULT i=220 name=vs_u0220 stage=draw status=completed final_status=4 error=""
RESULT i=221 name=vs_u0221 stage=draw status=completed final_status=4 error=""
RESULT i=222 name=vs_u0222 stage=draw status=completed final_status=4 error=""
RESULT i=223 name=vs_u0223 stage=draw status=completed final_status=4 error=""
RESULT i=224 name=vs_u0224 stage=draw status=completed final_status=4 error=""
RESULT i=225 name=vs_u0225 stage=draw status=completed final_status=4 error=""
RESULT i=226 name=vs_u0226 stage=draw status=completed final_status=4 error=""
RESULT i=227 name=vs_u0227 stage=draw status=completed final_status=4 error=""
RESULT i=228 name=vs_u0228 stage=draw status=completed final_status=4 error=""
RESULT i=229 name=vs_u0229 stage=draw status=completed final_status=4 error=""
RESULT i=230 name=vs_u0230 stage=draw status=completed final_status=4 error=""
RESULT i=231 name=vs_u0231 stage=draw status=completed final_status=4 error=""
RESULT i=232 name=vs_u0232 stage=draw status=completed final_status=4 error=""
RESULT i=233 name=vs_u0233 stage=draw status=completed final_status=4 error=""
RESULT i=234 name=vs_u0234 stage=draw status=completed final_status=4 error=""
RESULT i=235 name=vs_u0235 stage=draw status=completed final_status=4 error=""
RESULT i=236 name=vs_u0236 stage=draw status=completed final_status=4 error=""
RESULT i=237 name=vs_u0237 stage=draw status=completed final_status=4 error=""
RESULT i=238 name=vs_u0238 stage=draw status=completed final_status=4 error=""
RESULT i=239 name=vs_u0239 stage=draw status=completed final_status=4 error=""
RESULT i=240 name=vs_u0240 stage=draw status=completed final_status=4 error=""
RESULT i=241 name=vs_u0241 stage=draw status=completed final_status=4 error=""
RESULT i=242 name=vs_u0242 stage=draw status=completed final_status=4 error=""
RESULT i=243 name=vs_u0243 stage=draw status=completed final_status=4 error=""
RESULT i=244 name=vs_u0244 stage=draw status=completed final_status=4 error=""
RESULT i=245 name=vs_u0245 stage=draw status=completed final_status=4 error=""
RESULT i=246 name=vs_u0246 stage=draw status=completed final_status=4 error=""
RESULT i=247 name=vs_u0247 stage=draw status=completed final_status=4 error=""
RESULT i=248 name=vs_u0248 stage=draw status=completed final_status=4 error=""
RESULT i=249 name=vs_u0249 stage=draw status=completed final_status=4 error=""
RESULT i=250 name=vs_u0250 stage=draw status=completed final_status=4 error=""
DUMP i=250
RESULT i=251 name=vs_u0251 stage=draw status=completed final_status=4 error=""
RESULT i=252 name=vs_u0252 stage=draw status=completed final_status=4 error=""
RESULT i=253 name=vs_u0253 stage=draw status=completed final_status=4 error=""
RESULT i=254 name=vs_u0254 stage=draw status=completed final_status=4 error=""
RESULT i=255 name=vs_u0255 stage=draw status=completed final_status=4 error=""
RESULT i=256 name=vs_u0256 stage=draw status=completed final_status=4 error=""
RESULT i=257 name=vs_u0257 stage=draw status=completed final_status=4 error=""
RESULT i=258 name=vs_u0258 stage=draw status=completed final_status=4 error=""
RESULT i=259 name=vs_u0259 stage=draw status=completed final_status=4 error=""
RESULT i=260 name=vs_u0260 stage=draw status=completed final_status=4 error=""
RESULT i=261 name=vs_u0261 stage=draw status=completed final_status=4 error=""
RESULT i=262 name=vs_u0262 stage=draw status=completed final_status=4 error=""
RESULT i=263 name=vs_u0263 stage=draw status=completed final_status=4 error=""
RESULT i=264 name=vs_u0264 stage=draw status=completed final_status=4 error=""
RESULT i=265 name=vs_u0265 stage=draw status=completed final_status=4 error=""
RESULT i=266 name=vs_u0266 stage=draw status=completed final_status=4 error=""
RESULT i=267 name=vs_u0267 stage=draw status=completed final_status=4 error=""
RESULT i=268 name=vs_u0268 stage=draw status=completed final_status=4 error=""
RESULT i=269 name=vs_u0269 stage=draw status=completed final_status=4 error=""
RESULT i=270 name=vs_u0270 stage=draw status=completed final_status=4 error=""
RESULT i=271 name=vs_u0271 stage=draw status=completed final_status=4 error=""
RESULT i=272 name=vs_u0272 stage=draw status=completed final_status=4 error=""
RESULT i=273 name=vs_u0273 stage=draw status=completed final_status=4 error=""
RESULT i=274 name=vs_u0274 stage=draw status=completed final_status=4 error=""
RESULT i=275 name=vs_u0275 stage=draw status=completed final_status=4 error=""
RESULT i=276 name=vs_u0276 stage=draw status=completed final_status=4 error=""
RESULT i=277 name=vs_u0277 stage=draw status=completed final_status=4 error=""
RESULT i=278 name=vs_u0278 stage=draw status=completed final_status=4 error=""
RESULT i=279 name=vs_u0279 stage=draw status=completed final_status=4 error=""
RESULT i=280 name=vs_u0280 stage=draw status=completed final_status=4 error=""
RESULT i=281 name=vs_u0281 stage=draw status=completed final_status=4 error=""
RESULT i=282 name=vs_u0282 stage=draw status=completed final_status=4 error=""
RESULT i=283 name=vs_u0283 stage=draw status=completed final_status=4 error=""
RESULT i=284 name=vs_u0284 stage=draw status=completed final_status=4 error=""
RESULT i=285 name=vs_u0285 stage=draw status=completed final_status=4 error=""
RESULT i=286 name=vs_u0286 stage=draw status=completed final_status=4 error=""
RESULT i=287 name=vs_u0287 stage=draw status=completed final_status=4 error=""
RESULT i=288 name=vs_u0288 stage=draw status=completed final_status=4 error=""
RESULT i=289 name=vs_u0289 stage=draw status=completed final_status=4 error=""
RESULT i=290 name=vs_u0290 stage=draw status=completed final_status=4 error=""
RESULT i=291 name=vs_u0291 stage=draw status=completed final_status=4 error=""
RESULT i=292 name=vs_u0292 stage=draw status=completed final_status=4 error=""
RESULT i=293 name=vs_u0293 stage=draw status=completed final_status=4 error=""
RESULT i=294 name=vs_u0294 stage=draw status=completed final_status=4 error=""
RESULT i=295 name=vs_u0295 stage=draw status=completed final_status=4 error=""
RESULT i=296 name=vs_u0296 stage=draw status=completed final_status=4 error=""
RESULT i=297 name=vs_u0297 stage=draw status=completed final_status=4 error=""
RESULT i=298 name=vs_u0298 stage=draw status=completed final_status=4 error=""
RESULT i=299 name=vs_u0299 stage=draw status=completed final_status=4 error=""
RESULT i=300 name=vs_u0300 stage=draw status=completed final_status=4 error=""
DUMP i=300
RESULT i=301 name=vs_u0301 stage=draw status=completed final_status=4 error=""
RESULT i=302 name=vs_u0302 stage=draw status=completed final_status=4 error=""
RESULT i=303 name=vs_u0303 stage=draw status=completed final_status=4 error=""
RESULT i=304 name=vs_u0304 stage=draw status=completed final_status=4 error=""
RESULT i=305 name=vs_u0305 stage=draw status=completed final_status=4 error=""
RESULT i=306 name=vs_u0306 stage=draw status=completed final_status=4 error=""
RESULT i=307 name=vs_u0307 stage=draw status=completed final_status=4 error=""
RESULT i=308 name=vs_u0308 stage=draw status=completed final_status=4 error=""
RESULT i=309 name=vs_u0309 stage=draw status=completed final_status=4 error=""
