
=== gpu_va=0x0  A=map_seq000055_conn0_type00005e15_at105100000_sz4000.hex  B=bo_sigusr1_h0_va0_cpu100cb4000_sz10000.hex ===
  +0x0054: 0x00020054 -> 0x00000000   (A 131156  B 0)
  +0x0058: 0x0510a808 -> 0x0002801c   (A 84977672  B 163868)
  +0x005c: 0x0002801c -> 0x00000000   (A 163868  B 0)
  +0x0060: 0x00000004 -> 0x06118114   (A 4  B 101810452)
  +0x0064: 0x0054120f -> 0x00000000   (A 5509647  B 0)
  +0x0068: 0x240b004c -> 0x0002800c   (A 604700748  B 163852)
  +0x006c: 0x261b4409 -> 0x00000008   (A 639321097  B 8)
  +0x0070: 0x282b0409 -> 0x0054119f   (A 673907721  B 5509535)
  +0x0074: 0x2a3b0409 -> 0xa8080002   (A 708510729  B 2819096578)
  +0x0078: 0x000e0409 -> 0x801c0510   (A 918537  B 2149319952)
  +0x007c: 0x00000000 -> 0x00040002   (A 0  B 262146)
  +0x0080: 0x00000000 -> 0x120f0000   (A 0  B 302972928)
  +0x0084: 0x00000000 -> 0x004c0054   (A 0  B 4980820)
  +0x0088: 0x00000000 -> 0x0401001b   (A 0  B 67174427)
  +0x008c: 0x00000000 -> 0x4401240b   (A 0  B 1140925451)
  +0x0090: 0x00000000 -> 0x000f254b   (A 0  B 992587)
  +0x0094: 0x00000000 -> 0x14000022   (A 0  B 335544354)
  +0x0098: 0x00000000 -> 0x282b0000   (A 0  B 673906688)
  +0x009c: 0x00000000 -> 0x2a3b0409   (A 0  B 708510729)
  +0x00a0: 0x00000000 -> 0x881c0409   (A 0  B 2283537417)
  +0x00a4: 0x00000000 -> 0x00000709   (A 0  B 1801)
  +0x00a8: 0x00000000 -> 0x800c8000   (A 0  B 2148302848)
  +0x00ac: 0x00000000 -> 0x00000002   (A 0  B 2)
  +0x00b0: 0x00000000 -> 0x10270008   (A 0  B 270991368)
  +0x00b4: 0x00000000 -> 0x00000254   (A 0  B 596)
  +0x00b8: 0x00000000 -> 0x13f00008   (A 0  B 334495752)
  +0x00bc: 0x00000000 -> 0x000e0005   (A 0  B 917509)

[175 differing words across 37 paired BO(s)]
