
=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu104348000_sz10000.hex  B=map_seq000045_conn0_type00005e15_at102314000_sz4000.hex ===
  +0x025c: 0xffff0000 -> 0x7fff0000   (A 4294901760  B 2147418112)
  +0x0260: 0xffff0000 -> 0x7fff0000   (A 4294901760  B 2147418112)
  +0x0264: 0x00000001 -> 0x00000002   (A 1  B 2)

=== gpu_va=0x100000b0000  A=bo_sigusr1_h0_va100000b0000_cpu104718000_sz8000.hex  B=bo_sigusr1_h0_va100000b0000_cpu102714000_sz8000.hex ===
  +0x0008: 0x04720000 -> 0x0271c000   (A 74579968  B 41009152)

=== gpu_va=0x100000c0000  A=bo_sigusr1_h0_va100000c0000_cpu104720000_sz8000.hex  B=bo_sigusr1_h0_va100000c0000_cpu10271c000_sz8000.hex ===
  +0x0010: 0x00000001 -> 0x00000002   (A 1  B 2)
  +0x001c: 0x00000001 -> 0x00000002   (A 1  B 2)
  +0x0034: 0x04718010 -> 0x02714010   (A 74547216  B 40976400)

[187 differing words across 28 paired BO(s)]
