BOs only in A: 0x28000 0x38000 0x48000 0x58000 0x68000
BOs only in B: 0x20000 0x30000 0x40000 0x50000 0x60000 0x70000

=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu102d58000_sz10000.hex  B=map_seq000056_conn0_type00005e15_at1043f8000_sz4000.hex ===
  [size differs: A read 0x10000  B read 0x4000]
  +0x0230: 0x00000000 -> 0x00000004   (A 0  B 4)
  +0x023c: 0x00000000 -> 0x00000080   (A 0  B 128)
  +0x0240: 0x00000000 -> 0x0001ffff   (A 0  B 131071)
  +0x0244: 0x00000000 -> 0x00000008   (A 0  B 8)
  +0x0280: 0x00000000 -> 0x0002886c   (A 0  B 165996)
  +0x0284: 0x00000000 -> 0x000c0010   (A 0  B 786448)
  +0x0288: 0x00000000 -> 0xc82c107c   (A 0  B 3358331004)
  +0x028c: 0x00000000 -> 0x00120002   (A 0  B 1179650)
  +0x0290: 0x00000000 -> 0x103c000c   (A 0  B 272367628)
  +0x0294: 0x00000000 -> 0x0002e08c   (A 0  B 188556)
  +0x0298: 0x00000000 -> 0x000c0014   (A 0  B 786452)
  +0x029c: 0x00000000 -> 0xb8ac109c   (A 0  B 3098284188)
  +0x02a0: 0x00000000 -> 0x00000611   (A 0  B 1553)
  +0x02a4: 0x00000000 -> 0x00bc0000   (A 0  B 12320768)
  +0x02a8: 0x00000000 -> 0x0611b9b4   (A 0  B 101824948)
  +0x02b0: 0x00000000 -> 0x1454120f   (A 0  B 341053967)
  +0x02b4: 0x00000000 -> 0x060f004c   (A 0  B 101646412)
  +0x02b8: 0x00000000 -> 0x00000254   (A 0  B 596)
  +0x02bc: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x02c0: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x02c4: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x02c8: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x02cc: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x02d0: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x02d4: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x02d8: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x02dc: 0x00000000 -> 0x00060006   (A 0  B 393222)
  +0x02e0: 0x00000000 -> 0x000f0006   (A 0  B 983046)
  +0x02e4: 0x00000000 -> 0x00040154   (A 0  B 262484)
  +0x02e8: 0x00000000 -> 0x00001000   (A 0  B 4096)
  +0x0340: 0x00000000 -> 0x0002806c   (A 0  B 163948)
  +0x0344: 0x00000000 -> 0x000c0010   (A 0  B 786448)
  +0x0348: 0x00000000 -> 0x882c107c   (A 0  B 2284589180)
  +0x034c: 0x00000000 -> 0x00100002   (A 0  B 1048578)
  +0x0350: 0x00000000 -> 0x103c000c   (A 0  B 272367628)
  +0x0354: 0x00000000 -> 0x0002a08c   (A 0  B 172172)
  +0x0358: 0x00000000 -> 0x000c0012   (A 0  B 786450)
  +0x035c: 0x00000000 -> 0xb8ac109c   (A 0  B 3098284188)
  +0x0360: 0x00000000 -> 0x00000611   (A 0  B 1553)
