BOs only in B: 0x1000001c900

=== gpu_va=0x0  A=map_seq000044_conn0_type00005e15_at101408000_sz4000.hex  B=bo_sigusr1_h0_va0_cpu1048a8000_sz10000.hex ===
  [size differs: A read 0x4000  B read 0x10000]
  +0x0314: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0318: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x031c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0320: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0324: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0328: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x032c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0330: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0334: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0338: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x033c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0340: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0344: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0348: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x034c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0350: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0354: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0358: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x035c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0360: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0364: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0368: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x036c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0370: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0374: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0378: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x037c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0380: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0384: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0388: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
